d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.22300	7.79623	655.62129	25	200	55	17.05510	60.46809	10	48.57806	124.91502	12	16	47.43225	39.17277	0.66900	1.70690	0.93880	1.72022	1.54820	0.11150	2.53831	1.77682	0.11150	4.37003	0.22300	0.66900	1403.80000	1000
0.22400	7.75985	656.95733	25	200	55	17.20840	61.01162	10	48.69008	125.20306	12	16	47.54400	39.30016	0.67200	1.69170	0.93043	1.72022	1.54820	0.11200	2.52150	1.76505	0.11200	4.35372	0.22400	0.67200	1403.80000	1000
0.22500	7.72401	658.29934	25	200	55	17.36239	61.55758	10	48.80260	125.49240	12	16	47.65625	39.42813	0.67500	1.67669	0.92218	1.72022	1.54820	0.11250	2.50491	1.75344	0.11250	4.33763	0.22500	0.67500	1403.80000	1000
0.22600	7.68869	659.64734	25	200	55	17.51707	62.10597	10	48.91562	125.78302	12	16	47.76900	39.55666	0.67800	1.66189	0.91404	1.72022	1.54820	0.11300	2.48854	1.74198	0.11300	4.32176	0.22600	0.67800	1403.80000	1000
0.22700	7.65389	661.00131	25	200	55	17.67243	62.65680	10	49.02914	126.07493	12	16	47.88225	39.68577	0.68100	1.64728	0.90600	1.72022	1.54820	0.11350	2.47239	1.73067	0.11350	4.30611	0.22700	0.68100	1403.80000	1000
0.22800	7.61960	662.36127	25	200	55	17.82848	63.21006	10	49.14316	126.36813	12	16	47.99600	39.81544	0.68400	1.63286	0.89807	1.72022	1.54820	0.11400	2.45645	1.71951	0.11400	4.29067	0.22800	0.68400	1403.80000	1000
0.22900	7.58581	663.72720	25	200	55	17.98521	63.76575	10	49.25769	126.66262	12	16	48.11025	39.94569	0.68700	1.61863	0.89025	1.72022	1.54820	0.11450	2.44072	1.70850	0.11450	4.27544	0.22900	0.68700	1403.80000	1000
0.23000	7.55252	665.09912	25	200	55	18.14263	64.32387	10	49.37271	126.95840	12	16	48.22500	40.07650	0.69000	1.60459	0.88252	1.72022	1.54820	0.11500	2.42519	1.69763	0.11500	4.26041	0.23000	0.69000	1403.80000	1000
0.23100	7.51970	666.47701	25	200	55	18.30074	64.88442	10	49.48824	127.25548	12	16	48.34025	40.20789	0.69300	1.59072	0.87490	1.72022	1.54820	0.11550	2.40986	1.68690	0.11550	4.24558	0.23100	0.69300	1403.80000	1000
0.23200	7.48737	667.86088	25	200	55	18.45953	65.44741	10	49.60427	127.55384	12	16	48.45600	40.33984	0.69600	1.57704	0.86737	1.72022	1.54820	0.11600	2.39473	1.67631	0.11600	4.23095	0.23200	0.69600	1403.80000	1000
0.23300	7.45550	669.25074	25	200	55	18.61900	66.01283	10	49.72080	127.85349	12	16	48.57225	40.47237	0.69900	1.56353	0.85994	1.72022	1.54820	0.11650	2.37980	1.66586	0.11650	4.21652	0.23300	0.69900	1403.80000	1000
