d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.51400	6.30146	1564.27095	25	200	55	134.49727	476.85397	10	121.40096	312.17389	12	16	101.04900	100.29586	1.54200	0.32129	0.17671	2.55345	2.29810	0.25700	1.19402	0.83581	0.25700	4.00446	0.51400	1.54200	945.72000	1300
0.51500	6.30215	1568.39015	25	200	55	135.02112	478.71124	10	121.73348	313.02894	12	16	101.30625	100.58913	1.54500	0.32004	0.17602	2.55345	2.29810	0.25750	1.19264	0.83485	0.25750	4.00359	0.51500	1.54500	945.72000	1300
0.51600	6.30286	1572.51736	25	200	55	135.54598	480.57211	10	122.06665	313.88566	12	16	101.56400	100.88296	1.54800	0.31880	0.17534	2.55345	2.29810	0.25800	1.19127	0.83389	0.25800	4.00272	0.51600	1.54800	945.72000	1300
0.51700	6.30359	1576.65258	25	200	55	136.07186	482.43660	10	122.40046	314.74404	12	16	101.82225	101.17737	1.55100	0.31757	0.17466	2.55345	2.29810	0.25850	1.18992	0.83294	0.25850	4.00186	0.51700	1.55100	945.72000	1300
0.51800	6.30434	1580.79581	25	200	55	136.59876	484.30470	10	122.73492	315.60409	12	16	102.08100	101.47234	1.55400	0.31634	0.17399	2.55345	2.29810	0.25900	1.18856	0.83199	0.25900	4.00101	0.51800	1.55400	945.72000	1300
0.51900	6.30510	1584.94146	25	200	55	137.12668	486.17641	10	123.06847	316.46177	12	16	102.34025	101.76789	1.55700	0.31513	0.17332	2.55345	2.29810	0.25950	1.18721	0.83104	0.25950	4.00015	0.51900	1.55700	945.72000	1300
0.52000	6.30588	1589.09964	25	200	55	137.65561	488.05172	10	123.40392	317.32438	12	16	102.60000	102.06400	1.56000	0.31392	0.17265	2.55345	2.29810	0.26000	1.18587	0.83011	0.26000	3.99931	0.52000	1.56000	945.72000	1300
0.52100	6.30669	1593.26582	25	200	55	138.18557	489.93065	10	123.74003	318.18864	12	16	102.86025	102.36069	1.56300	0.31271	0.17199	2.55345	2.29810	0.26050	1.18454	0.82918	0.26050	3.99848	0.52100	1.56300	945.72000	1300
0.52200	6.30751	1597.44001	25	200	55	138.71654	491.81319	10	124.07678	319.05457	12	16	103.12100	102.65794	1.56600	0.31151	0.17133	2.55345	2.29810	0.26100	1.18321	0.82825	0.26100	3.99766	0.52200	1.56600	945.72000	1300
0.52300	6.30835	1601.62221	25	200	55	139.24853	493.69933	10	124.41417	319.92215	12	16	103.38225	102.95577	1.56900	0.31032	0.17068	2.55345	2.29810	0.26150	1.18190	0.82733	0.26150	3.99685	0.52300	1.56900	945.72000	1300
0.52400	6.30921	1605.81240	25	200	55	139.78154	495.58909	10	124.75221	320.79140	12	16	103.64400	103.25416	1.57200	0.30914	0.17003	2.55345	2.29810	0.26200	1.18059	0.82641	0.26200	3.99604	0.52400	1.57200	945.72000	1300
0.52500	6.31008	1610.01061	25	200	55	140.31556	497.48246	10	125.09090	321.66231	12	16	103.90625	103.55313	1.57500	0.30796	0.16938	2.55345	2.29810	0.26250	1.17929	0.82550	0.26250	3.99524	0.52500	1.57500	945.72000	1300
0.52600	6.31098	1614.21682	25	200	55	140.85061	499.37943	10	125.43023	322.53488	12	16	104.16900	103.85266	1.57800	0.30679	0.16874	2.55345	2.29810	0.26300	1.17800	0.82460	0.26300	3.99445	0.52600	1.57800	945.72000	1300
0.52700	6.31189	1618.43103	25	200	55	141.38667	501.28002	10	125.77021	323.40911	12	16	104.43225	104.15277	1.58100	0.30563	0.16810	2.55345	2.29810	0.26350	1.17671	0.82370	0.26350	3.99366	0.52700	1.58100	945.72000	1300
0.52800	6.31282	1622.65325	25	200	55	141.92375	503.18421	10	126.11084	324.28500	12	16	104.69600	104.45344	1.58400	0.30447	0.16746	2.55345	2.29810	0.26400	1.17543	0.82280	0.26400	3.99288	0.52800	1.58400	945.72000	1300
0.52900	6.31376	1626.88347	25	200	55	142.46185	505.09202	10	126.45211	325.16256	12	16	104.96025	104.75469	1.58700	0.30332	0.16683	2.55345	2.29810	0.26450	1.17416	0.82191	0.26450	3.99211	0.52900	1.58700	945.72000	1300
0.53000	6.31473	1631.12170	25	200	55	143.00097	507.00344	10	126.79402	326.04177	12	16	105.22500	105.05650	1.59000	0.30218	0.16620	2.55345	2.29810	0.26500	1.17290	0.82103	0.26500	3.99135	0.53000	1.59000	945.72000	1300
0.53100	6.31571	1635.36793	25	200	55	143.54110	508.91846	10	127.13658	326.92265	12	16	105.49025	105.35889	1.59300	0.30104	0.16557	2.55345	2.29810	0.26550	1.17164	0.82015	0.26550	3.99059	0.53100	1.59300	945.72000	1300
0.53200	6.31671	1639.62217	25	200	55	144.08226	510.83710	10	127.47979	327.80518	12	16	105.75600	105.66184	1.59600	0.29991	0.16495	2.55345	2.29810	0.26600	1.17039	0.81928	0.26600	3.98984	0.53200	1.59600	945.72000	1300
0.53300	6.31772	1643.88441	25	200	55	144.62443	512.75934	10	127.82365	328.68938	12	16	106.02225	105.96537	1.59900	0.29879	0.16433	2.55345	2.29810	0.26650	1.16915	0.81841	0.26650	3.98910	0.53300	1.59900	945.72000	1300
0.53400	6.31875	1648.15466	25	200	55	145.16762	514.68520	10	128.16815	329.57523	12	16	106.28900	106.26946	1.60200	0.29767	0.16372	2.55345	2.29810	0.26700	1.16792	0.81754	0.26700	3.98836	0.53400	1.60200	945.72000	1300
0.53500	6.31980	1652.43291	25	200	55	145.71183	516.61466	10	128.51329	330.46275	12	16	106.55625	106.57413	1.60500	0.29656	0.16311	2.55345	2.29810	0.26750	1.16669	0.81668	0.26750	3.98763	0.53500	1.60500	945.72000	1300
0.53600	6.32087	1656.71916	25	200	55	146.25705	518.54774	10	128.85908	331.35193	12	16	106.82400	106.87936	1.60800	0.29545	0.16250	2.55345	2.29810	0.26800	1.16547	0.81583	0.26800	3.98691	0.53600	1.60800	945.72000	1300
0.53700	6.32195	1661.01343	25	200	55	146.80330	520.48442	10	129.20552	332.24277	12	16	107.09225	107.18517	1.61100	0.29435	0.16189	2.55345	2.29810	0.26850	1.16425	0.81498	0.26850	3.98620	0.53700	1.61100	945.72000	1300
0.53800	6.32304	1665.31569	25	200	55	147.35056	522.42472	10	129.55261	333.13527	12	16	107.36100	107.49154	1.61400	0.29326	0.16129	2.55345	2.29810	0.26900	1.16304	0.81413	0.26900	3.98549	0.53800	1.61400	945.72000	1300
0.53900	6.32416	1669.62596	25	200	55	147.89884	524.36862	10	129.90033	334.02943	12	16	107.63025	107.79849	1.61700	0.29217	0.16070	2.55345	2.29810	0.26950	1.16184	0.81329	0.26950	3.98479	0.53900	1.61700	945.72000	1300
0.54000	6.32529	1673.94424	25	200	55	148.44814	526.31613	10	130.24871	334.92525	12	16	107.90000	108.10600	1.62000	0.29109	0.16010	2.55345	2.29810	0.27000	1.16065	0.81245	0.27000	3.98409	0.54000	1.62000	945.72000	1300
0.54100	6.32643	1678.27052	25	200	55	148.99846	528.26726	10	130.59773	335.82274	12	16	108.17025	108.41409	1.62300	0.29002	0.15951	2.55345	2.29810	0.27050	1.15946	0.81162	0.27050	3.98340	0.54100	1.62300	945.72000	1300
0.54200	6.32759	1682.60480	25	200	55	149.54979	530.22199	10	130.94740	336.72188	12	16	108.44100	108.72274	1.62600	0.28895	0.15892	2.55345	2.29810	0.27100	1.15828	0.81079	0.27100	3.98272	0.54200	1.62600	945.72000	1300
0.54300	6.32877	1686.94709	25	200	55	150.10215	532.18034	10	131.29771	337.62269	12	16	108.71225	109.03197	1.62900	0.28789	0.15834	2.55345	2.29810	0.27150	1.15710	0.80997	0.27150	3.98205	0.54300	1.62900	945.72000	1300
0.54400	6.32996	1691.29739	25	200	55	150.65552	534.14229	10	131.64867	338.52515	12	16	108.98400	109.34176	1.63200	0.28683	0.15776	2.55345	2.29810	0.27200	1.15593	0.80915	0.27200	3.98138	0.54400	1.63200	945.72000	1300
0.54500	6.33117	1695.65569	25	200	55	151.20991	536.10785	10	132.00027	339.42928	12	16	109.25625	109.65213	1.63500	0.28578	0.15718	2.55345	2.29810	0.27250	1.15477	0.80834	0.27250	3.98072	0.54500	1.63500	945.72000	1300
0.54600	6.33239	1700.02199	25	200	55	151.76531	538.07703	10	132.35253	340.33507	12	16	109.52900	109.96306	1.63800	0.28473	0.15660	2.55345	2.29810	0.27300	1.15362	0.80753	0.27300	3.98006	0.54600	1.63800	945.72000	1300
0.54700	6.33363	1704.39630	25	200	55	152.32174	540.04981	10	132.70542	341.24251	12	16	109.80225	110.27457	1.64100	0.28369	0.15603	2.55345	2.29810	0.27350	1.15247	0.80673	0.27350	3.97941	0.54700	1.64100	945.72000	1300
0.54800	6.33489	1708.77861	25	200	55	152.87918	542.02620	10	133.05896	342.15162	12	16	110.07600	110.58664	1.64400	0.28266	0.15546	2.55345	2.29810	0.27400	1.15132	0.80593	0.27400	3.97877	0.54800	1.64400	945.72000	1300
0.54900	6.33615	1713.16893	25	200	55	153.43765	544.00620	10	133.41315	343.06239	12	16	110.35025	110.89929	1.64700	0.28163	0.15489	2.55345	2.29810	0.27450	1.15019	0.80513	0.27450	3.97813	0.54900	1.64700	945.72000	1300
0.55000	6.33744	1717.56726	25	200	55	153.99713	545.98982	10	133.76799	343.97482	12	16	110.62500	111.21250	1.65000	0.28060	0.15433	2.55345	2.29810	0.27500	1.14906	0.80434	0.27500	3.97750	0.55000	1.65000	945.72000	1300
0.55100	6.33874	1721.97358	25	200	55	154.55763	547.97704	10	134.12347	344.88892	12	16	110.90025	111.52629	1.65300	0.27959	0.15377	2.55345	2.29810	0.27550	1.14793	0.80355	0.27550	3.97688	0.55100	1.65300	945.72000	1300
0.55200	6.34005	1726.38792	25	200	55	155.11914	549.96787	10	134.47959	345.80467	12	16	111.17600	111.84064	1.65600	0.27857	0.15322	2.55345	2.29810	0.27600	1.14681	0.80277	0.27600	3.97626	0.55200	1.65600	945.72000	1300
0.55300	6.34138	1730.81025	25	200	55	155.68168	551.96231	10	134.83637	346.72208	12	16	111.45225	112.15557	1.65900	0.27757	0.15266	2.55345	2.29810	0.27650	1.14570	0.80199	0.27650	3.97565	0.55300	1.65900	945.72000	1300
0.55400	6.34272	1735.24060	25	200	55	156.24523	553.96037	10	135.19378	347.64116	12	16	111.72900	112.47106	1.66200	0.27657	0.15211	2.55345	2.29810	0.27700	1.14459	0.80122	0.27700	3.97504	0.55400	1.66200	945.72000	1300
0.55500	6.34407	1739.67894	25	200	55	156.80980	555.96203	10	135.55185	348.56189	12	16	112.00625	112.78713	1.66500	0.27557	0.15156	2.55345	2.29810	0.27750	1.14349	0.80045	0.27750	3.97444	0.55500	1.66500	945.72000	1300
0.55600	6.34544	1744.12530	25	200	55	157.37539	557.96730	10	135.91056	349.48429	12	16	112.28400	113.10376	1.66800	0.27458	0.15102	2.55345	2.29810	0.27800	1.14240	0.79968	0.27800	3.97385	0.55600	1.66800	945.72000	1300
0.55700	6.34683	1748.57965	25	200	55	157.94200	559.97618	10	136.26991	350.40835	12	16	112.56225	113.42097	1.67100	0.27360	0.15048	2.55345	2.29810	0.27850	1.14131	0.79892	0.27850	3.97326	0.55700	1.67100	945.72000	1300
0.55800	6.34823	1753.04201	25	200	55	158.50963	561.98867	10	136.62991	351.33406	12	16	112.84100	113.73874	1.67400	0.27262	0.14994	2.55345	2.29810	0.27900	1.14023	0.79816	0.27900	3.97267	0.55800	1.67400	945.72000	1300
0.55900	6.34964	1757.51238	25	200	55	159.07827	564.00477	10	136.99056	352.26144	12	16	113.12025	114.05709	1.67700	0.27164	0.14940	2.55345	2.29810	0.27950	1.13915	0.79741	0.27950	3.97210	0.55900	1.67700	945.72000	1300
0.56000	6.35107	1761.99075	25	200	55	159.64793	566.02448	10	137.35185	353.19048	12	16	113.40000	114.37600	1.68000	0.27067	0.14887	2.55345	2.29810	0.28000	1.13808	0.79666	0.28000	3.97153	0.56000	1.68000	945.72000	1300
0.56100	6.35251	1766.47713	25	200	55	160.21861	568.04781	10	137.71379	354.12118	12	16	113.68025	114.69549	1.68300	0.26971	0.14834	2.55345	2.29810	0.28050	1.13701	0.79591	0.28050	3.97096	0.56100	1.68300	945.72000	1300
0.56200	6.35396	1770.97151	25	200	55	160.79031	570.07474	10	138.07638	355.05354	12	16	113.96100	115.01554	1.68600	0.26875	0.14781	2.55345	2.29810	0.28100	1.13595	0.79517	0.28100	3.97040	0.56200	1.68600	945.72000	1300
0.56300	6.35543	1775.47389	25	200	55	161.36303	572.10528	10	138.43961	355.98757	12	16	114.24225	115.33617	1.68900	0.26779	0.14729	2.55345	2.29810	0.28150	1.13490	0.79443	0.28150	3.96985	0.56300	1.68900	945.72000	1300
0.56400	6.35691	1779.98428	25	200	55	161.93676	574.13943	10	138.80349	356.92325	12	16	114.52400	115.65736	1.69200	0.26685	0.14677	2.55345	2.29810	0.28200	1.13385	0.79370	0.28200	3.96930	0.56400	1.69200	945.72000	1300
0.56500	6.35840	1784.50268	25	200	55	162.51151	576.17719	10	139.16801	357.86059	12	16	114.80625	115.97913	1.69500	0.26590	0.14625	2.55345	2.29810	0.28250	1.13281	0.79297	0.28250	3.96876	0.56500	1.69500	945.72000	1300
0.56600	6.35991	1789.02908	25	200	55	163.08729	578.21856	10	139.53318	358.79960	12	16	115.08900	116.30146	1.69800	0.26496	0.14573	2.55345	2.29810	0.28300	1.13177	0.79224	0.28300	3.96822	0.56600	1.69800	945.72000	1300
0.56700	6.36143	1793.56348	25	200	55	163.66407	580.26354	10	139.89899	359.74026	12	16	115.37225	116.62437	1.70100	0.26403	0.14522	2.55345	2.29810	0.28350	1.13074	0.79152	0.28350	3.96769	0.56700	1.70100	945.72000	1300
0.56800	6.36297	1798.10589	25	200	55	164.24188	582.31213	10	140.26545	360.68259	12	16	115.65600	116.94784	1.70400	0.26310	0.14471	2.55345	2.29810	0.28400	1.12971	0.79080	0.28400	3.96716	0.56800	1.70400	945.72000	1300
