d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.48600	6.00303	1384.82314	25	200	55	109.18817	387.12170	10	107.56156	276.58686	12	16	94.04900	92.31586	1.45800	0.35937	0.19766	2.31869	2.08682	0.24300	1.18331	0.82832	0.24300	3.74500	0.48600	1.45800	1041.47000	1600
0.48700	6.00311	1388.43958	25	200	55	109.63797	388.71643	10	107.85594	277.34383	12	16	94.29225	92.59317	1.46100	0.35790	0.19684	2.31869	2.08682	0.24350	1.18168	0.82718	0.24350	3.74387	0.48700	1.46100	1041.47000	1600
0.48800	6.00322	1392.06345	25	200	55	110.08869	390.31444	10	108.15092	278.10237	12	16	94.53600	92.87104	1.46400	0.35643	0.19604	2.31869	2.08682	0.24400	1.18006	0.82604	0.24400	3.74275	0.48800	1.46400	1041.47000	1600
0.48900	6.00336	1395.69476	25	200	55	110.54033	391.91573	10	108.44651	278.86245	12	16	94.78025	93.14949	1.46700	0.35498	0.19524	2.31869	2.08682	0.24450	1.17845	0.82492	0.24450	3.74164	0.48900	1.46700	1041.47000	1600
0.49000	6.00351	1399.33350	25	200	55	110.99290	393.52029	10	108.74271	279.62410	12	16	95.02500	93.42850	1.47000	0.35353	0.19444	2.31869	2.08682	0.24500	1.17685	0.82380	0.24500	3.74054	0.49000	1.47000	1041.47000	1600
0.49100	6.00369	1402.97968	25	200	55	111.44640	395.12814	10	109.03951	280.38730	12	16	95.27025	93.70809	1.47300	0.35209	0.19365	2.31869	2.08682	0.24550	1.17526	0.82268	0.24550	3.73945	0.49100	1.47300	1041.47000	1600
0.49200	6.00390	1406.63329	25	200	55	111.90082	396.73926	10	109.33691	281.15206	12	16	95.51600	93.98824	1.47600	0.35066	0.19286	2.31869	2.08682	0.24600	1.17368	0.82158	0.24600	3.73837	0.49200	1.47600	1041.47000	1600
0.49300	6.00412	1410.29433	25	200	55	112.35616	398.35366	10	109.63492	281.91837	12	16	95.76225	94.26897	1.47900	0.34924	0.19208	2.31869	2.08682	0.24650	1.17211	0.82048	0.24650	3.73730	0.49300	1.47900	1041.47000	1600
0.49400	6.00437	1413.96281	25	200	55	112.81243	399.97134	10	109.93354	282.68624	12	16	96.00900	94.55026	1.48200	0.34783	0.19131	2.31869	2.08682	0.24700	1.17055	0.81939	0.24700	3.73624	0.49400	1.48200	1041.47000	1600
0.49500	6.00465	1417.63872	25	200	55	113.26962	401.59229	10	110.23276	283.45567	12	16	96.25625	94.83213	1.48500	0.34642	0.19053	2.31869	2.08682	0.24750	1.16900	0.81830	0.24750	3.73519	0.49500	1.48500	1041.47000	1600
0.49600	6.00494	1421.32207	25	200	55	113.72774	403.21653	10	110.53259	284.22665	12	16	96.50400	95.11456	1.48800	0.34503	0.18977	2.31869	2.08682	0.24800	1.16746	0.81722	0.24800	3.73415	0.49600	1.48800	1041.47000	1600
0.49700	6.00526	1425.01285	25	200	55	114.18678	404.84404	10	110.83302	284.99919	12	16	96.75225	95.39757	1.49100	0.34364	0.18900	2.31869	2.08682	0.24850	1.16592	0.81615	0.24850	3.73311	0.49700	1.49100	1041.47000	1600
0.49800	6.00560	1428.71107	25	200	55	114.64675	406.47483	10	111.13406	285.77329	12	16	97.00100	95.68114	1.49400	0.34226	0.18824	2.31869	2.08682	0.24900	1.16440	0.81508	0.24900	3.73209	0.49800	1.49400	1041.47000	1600
0.49900	6.00596	1432.41672	25	200	55	115.10764	408.10890	10	111.43570	286.54895	12	16	97.25025	95.96529	1.49700	0.34089	0.18749	2.31869	2.08682	0.24950	1.16289	0.81402	0.24950	3.73108	0.49900	1.49700	1041.47000	1600
0.50000	6.00634	1436.12980	25	200	55	115.56945	409.74624	10	111.73795	287.32616	12	16	97.50000	96.25000	1.50000	0.33953	0.18674	2.31869	2.08682	0.25000	1.16138	0.81297	0.25000	3.73007	0.50000	1.50000	1041.47000	1600
0.50100	6.00675	1439.85032	25	200	55	116.03219	411.38687	10	112.04080	288.10492	12	16	97.75025	96.53529	1.50300	0.33818	0.18600	2.31869	2.08682	0.25050	1.15988	0.81192	0.25050	3.72907	0.50100	1.50300	1041.47000	1600
0.50200	6.00717	1443.57827	25	200	55	116.49586	413.03077	10	112.34426	288.88524	12	16	98.00100	96.82114	1.50600	0.33683	0.18526	2.31869	2.08682	0.25100	1.15840	0.81088	0.25100	3.72809	0.50200	1.50600	1041.47000	1600
0.50300	6.00762	1447.31366	25	200	55	116.96045	414.67795	10	112.64833	289.66712	12	16	98.25225	97.10757	1.50900	0.33549	0.18452	2.31869	2.08682	0.25150	1.15692	0.80984	0.25150	3.72711	0.50300	1.50900	1041.47000	1600
0.50400	6.00809	1451.05649	25	200	55	117.42596	416.32841	10	112.95300	290.45056	12	16	98.50400	97.39456	1.51200	0.33416	0.18379	2.31869	2.08682	0.25200	1.15545	0.80881	0.25200	3.72614	0.50400	1.51200	1041.47000	1600
0.50500	6.00858	1454.80674	25	200	55	117.89240	417.98214	10	113.25827	291.23555	12	16	98.75625	97.68213	1.51500	0.33284	0.18306	2.31869	2.08682	0.25250	1.15399	0.80779	0.25250	3.72518	0.50500	1.51500	1041.47000	1600
0.50600	6.00909	1458.56443	25	200	55	118.35976	419.63916	10	113.56415	292.02210	12	16	99.00900	97.97026	1.51800	0.33153	0.18234	2.31869	2.08682	0.25300	1.15254	0.80677	0.25300	3.72422	0.50600	1.51800	1041.47000	1600
0.50700	6.00962	1462.32956	25	200	55	118.82805	421.29945	10	113.87064	292.81021	12	16	99.26225	98.25897	1.52100	0.33022	0.18162	2.31869	2.08682	0.25350	1.15109	0.80576	0.25350	3.72328	0.50700	1.52100	1041.47000	1600
0.50800	6.01017	1466.10212	25	200	55	119.29726	422.96302	10	114.17773	293.59987	12	16	99.51600	98.54824	1.52400	0.32892	0.18091	2.31869	2.08682	0.25400	1.14966	0.80476	0.25400	3.72235	0.50800	1.52400	1041.47000	1600
0.50900	6.01074	1469.88211	25	200	55	119.76740	424.62987	10	114.48542	294.39109	12	16	99.77025	98.83809	1.52700	0.32763	0.18020	2.31869	2.08682	0.25450	1.14823	0.80376	0.25450	3.72142	0.50900	1.52700	1041.47000	1600
0.51000	6.01134	1473.66954	25	200	55	120.23846	426.29999	10	114.79372	295.18386	12	16	100.02500	99.12850	1.53000	0.32635	0.17949	2.31869	2.08682	0.25500	1.14681	0.80277	0.25500	3.72050	0.51000	1.53000	1041.47000	1600
0.51100	6.01195	1477.46440	25	200	55	120.71045	427.97340	10	115.10263	295.97820	12	16	100.28025	99.41949	1.53300	0.32507	0.17879	2.31869	2.08682	0.25550	1.14540	0.80178	0.25550	3.71959	0.51100	1.53300	1041.47000	1600
0.51200	6.01258	1481.26670	25	200	55	121.18336	429.65008	10	115.41214	296.77408	12	16	100.53600	99.71104	1.53600	0.32380	0.17809	2.31869	2.08682	0.25600	1.14400	0.80080	0.25600	3.71869	0.51200	1.53600	1041.47000	1600
0.51300	6.01323	1485.07643	25	200	55	121.65719	431.33004	10	115.72226	297.57153	12	16	100.79225	100.00317	1.53900	0.32254	0.17740	2.31869	2.08682	0.25650	1.14261	0.79982	0.25650	3.71779	0.51300	1.53900	1041.47000	1600
